HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Brighton,Nott'm Forest,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby,Bolton,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,Birmingham,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeds,Brentford,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesbrough,Charlton,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millwall,Huddersfield,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Blackpool,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotherham,Ipswich,21/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Weds,Cardiff,22/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watford,Blackburn,22/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wigan,Bournemouth,25/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading,Wolves,26/04/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
