HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG
Blackburn,Cardiff,8/8/2014,1,1,1,1
Brentford,Charlton,9/8/2014,1,1,0,0
Brighton,Sheffield Weds,9/8/2014,0,1,0,1
Derby,Rotherham,9/8/2014,1,0,0,0
Huddersfield,Bournemouth,9/8/2014,0,4,0,2
Ipswich,Fulham,9/8/2014,2,1,1,0
Middlesbrough,Birmingham,9/8/2014,2,0,1,0
Millwall,Leeds,9/8/2014,2,0,1,0
Nott'm Forest,Blackpool,9/8/2014,2,0,2,0
Watford,Bolton,9/8/2014,3,0,2,0
Wigan,Reading,9/8/2014,2,2,1,0
Wolves,Norwich,10/8/2014,1,0,0,0
Birmingham,Brighton,16/08/14,1,0,0,0
Blackpool,Blackburn,16/08/14,1,2,0,1
Bolton,Nott'm Forest,16/08/14,2,2,2,2
Bournemouth,Brentford,16/08/14,1,0,0,0
Cardiff,Huddersfield,16/08/14,3,1,2,1
Charlton,Wigan,16/08/14,2,1,1,1
Fulham,Millwall,16/08/14,0,1,0,1
Leeds,Middlesbrough,16/08/14,1,0,0,0
Norwich,Watford,16/08/14,3,0,1,0
Reading,Ipswich,16/08/14,1,0,1,0
Rotherham,Wolves,16/08/14,1,0,0,0
Sheffield Weds,Derby,16/08/14,0,0,0,0
Birmingham,Ipswich,19/08/14,2,2,1,0
Blackpool,Brentford,19/08/14,1,2,1,1
Bolton,Middlesbrough,19/08/14,1,2,1,1
Bournemouth,Nott'm Forest,19/08/14,1,2,0,0
Cardiff,Wigan,19/08/14,1,0,0,0
Charlton,Derby,19/08/14,3,2,2,1
Leeds,Brighton,19/08/14,0,2,0,1
Norwich,Blackburn,19/08/14,3,1,1,1
Reading,Huddersfield,19/08/14,1,2,0,2
Rotherham,Watford,19/08/14,0,2,0,0
Sheffield Weds,Millwall,19/08/14,1,1,0,0
Fulham,Wolves,20/08/14,0,1,0,1
Blackburn,Bournemouth,23/08/14,3,2,3,0
Brentford,Birmingham,23/08/14,1,1,0,1
Brighton,Bolton,23/08/14,2,1,1,1
Derby,Fulham,23/08/14,5,1,1,0
Huddersfield,Charlton,23/08/14,1,1,0,0
Ipswich,Norwich,23/08/14,0,1,0,1
Middlesbrough,Sheffield Weds,23/08/14,2,3,0,2
Millwall,Rotherham,23/08/14,0,1,0,0
Nott'm Forest,Reading,23/08/14,4,0,1,0
Watford,Leeds,23/08/14,4,1,1,1
Wigan,Blackpool,23/08/14,1,0,1,0
Wolves,Cardiff,23/08/14,1,0,0,0
Brighton,Charlton,30/08/14,2,2,0,1
Derby,Ipswich,30/08/14,1,1,1,0
Fulham,Cardiff,30/08/14,1,1,1,0
Leeds,Bolton,30/08/14,1,0,1,0
Middlesbrough,Reading,30/08/14,0,1,0,1
Millwall,Blackpool,30/08/14,2,1,1,0
Norwich,Bournemouth,30/08/14,1,1,1,1
Rotherham,Brentford,30/08/14,0,2,0,1
Sheffield Weds,Nott'm Forest,30/08/14,0,1,0,1
Watford,Huddersfield,30/08/14,4,2,1,0
Wigan,Birmingham,30/08/14,4,0,3,0
Wolves,Blackburn,30/08/14,3,1,2,0
Birmingham,Leeds,13/09/14,1,1,1,0
Blackburn,Wigan,13/09/14,3,1,0,0
Blackpool,Wolves,13/09/14,0,0,0,0
Bolton,Sheffield Weds,13/09/14,0,0,0,0
Bournemouth,Rotherham,13/09/14,1,1,0,0
Brentford,Brighton,13/09/14,3,2,2,1
Cardiff,Norwich,13/09/14,2,4,2,0
Charlton,Watford,13/09/14,1,0,1,0
Huddersfield,Middlesbrough,13/09/14,1,2,0,1
Ipswich,Millwall,13/09/14,2,0,1,0
Reading,Fulham,13/09/14,3,0,1,0
Nott'm Forest,Derby,14/09/14,1,1,0,0
Birmingham,Sheffield Weds,16/09/14,0,2,0,0
Blackpool,Watford,16/09/14,0,1,0,0
Bolton,Rotherham,16/09/14,3,2,0,1
Bournemouth,Leeds,16/09/14,1,3,1,0
Brentford,Norwich,16/09/14,0,3,0,0
Cardiff,Middlesbrough,16/09/14,0,1,0,1
Charlton,Wolves,16/09/14,1,1,1,0
Huddersfield,Wigan,16/09/14,0,0,0,0
Ipswich,Brighton,16/09/14,2,0,0,0
Reading,Millwall,16/09/14,3,2,2,1
Blackburn,Derby,17/09/14,2,3,1,2
Nott'm Forest,Fulham,17/09/14,5,3,2,1
Brighton,Blackpool,20/09/14,0,0,0,0
Derby,Cardiff,20/09/14,2,2,0,0
Fulham,Blackburn,20/09/14,0,1,0,0
Leeds,Huddersfield,20/09/14,3,0,2,0
Middlesbrough,Brentford,20/09/14,4,0,1,0
Millwall,Nott'm Forest,20/09/14,0,0,0,0
Norwich,Birmingham,20/09/14,2,2,0,2
Rotherham,Charlton,20/09/14,1,1,0,1
Sheffield Weds,Reading,20/09/14,1,0,0,0
Watford,Bournemouth,20/09/14,1,1,0,0
Wolves,Bolton,20/09/14,1,0,1,0
Wigan,Ipswich,22/09/14,1,2,0,1
Birmingham,Fulham,27/09/14,1,2,1,0
Blackburn,Watford,27/09/14,2,2,0,2
Blackpool,Norwich,27/09/14,1,3,0,0
Bolton,Derby,27/09/14,0,2,0,1
Bournemouth,Wigan,27/09/14,2,0,1,0
Brentford,Leeds,27/09/14,2,0,1,0
Cardiff,Sheffield Weds,27/09/14,2,1,1,0
Charlton,Middlesbrough,27/09/14,0,0,0,0
Huddersfield,Millwall,27/09/14,2,1,1,1
Ipswich,Rotherham,27/09/14,2,0,2,0
Nott'm Forest,Brighton,27/09/14,0,0,0,0
Reading,Wolves,28/09/14,3,3,1,0
Brighton,Cardiff,30/09/14,1,1,1,1
Derby,Bournemouth,30/09/14,2,0,0,0
Middlesbrough,Blackpool,30/09/14,1,1,1,1
Millwall,Birmingham,30/09/14,1,3,0,2
Norwich,Charlton,30/09/14,0,1,0,0
Rotherham,Blackburn,30/09/14,2,0,2,0
Sheffield Weds,Ipswich,30/09/14,1,1,1,0
Watford,Brentford,30/09/14,2,1,1,0
Wigan,Nott'm Forest,30/09/14,0,0,0,0
Fulham,Bolton,1/10/2014,4,0,2,0
Leeds,Reading,1/10/2014,0,0,0,0
Wolves,Huddersfield,1/10/2014,1,3,0,2
Blackpool,Cardiff,3/10/2014,1,0,0,0
Blackburn,Huddersfield,4/10/2014,0,0,0,0
Bolton,Bournemouth,4/10/2014,1,2,0,0
Brentford,Reading,4/10/2014,3,1,2,0
Charlton,Birmingham,4/10/2014,1,1,1,0
Derby,Millwall,4/10/2014,0,0,0,0
Leeds,Sheffield Weds,4/10/2014,1,1,0,0
Middlesbrough,Fulham,4/10/2014,2,0,0,0
Norwich,Rotherham,4/10/2014,1,1,0,1
Watford,Brighton,4/10/2014,1,1,0,0
Wolves,Wigan,4/10/2014,2,2,1,2
Nott'm Forest,Ipswich,5/10/2014,2,2,0,1
Rotherham,Leeds,17/10/14,2,1,0,1
Birmingham,Bolton,18/10/14,0,1,0,1
Bournemouth,Charlton,18/10/14,1,0,1,0
Brighton,Middlesbrough,18/10/14,1,2,0,1
Cardiff,Nott'm Forest,18/10/14,2,1,2,0
Fulham,Norwich,18/10/14,1,0,1,0
Huddersfield,Blackpool,18/10/14,4,2,3,2
Ipswich,Blackburn,18/10/14,1,1,0,0
Millwall,Wolves,18/10/14,3,3,0,1
Reading,Derby,18/10/14,0,3,0,2
Sheffield Weds,Watford,18/10/14,0,3,0,2
Wigan,Brentford,18/10/14,0,0,0,0
Blackburn,Birmingham,21/10/14,1,0,0,0
Blackpool,Derby,21/10/14,0,1,0,0
Bournemouth,Reading,21/10/14,3,0,0,0
Brentford,Sheffield Weds,21/10/14,0,0,0,0
Cardiff,Ipswich,21/10/14,3,1,1,1
Charlton,Bolton,21/10/14,2,1,1,0
Huddersfield,Brighton,21/10/14,1,1,1,1
Norwich,Leeds,21/10/14,1,1,0,0
Rotherham,Fulham,21/10/14,3,3,1,1
Watford,Nott'm Forest,21/10/14,2,2,1,1
Wigan,Millwall,21/10/14,0,0,0,0
Wolves,Middlesbrough,21/10/14,2,0,1,0
Fulham,Charlton,24/10/14,3,0,2,0
Birmingham,Bournemouth,25/10/14,0,8,0,3
Bolton,Brentford,25/10/14,3,1,0,0
Brighton,Rotherham,25/10/14,1,1,1,0
Derby,Wigan,25/10/14,1,2,1,0
Ipswich,Huddersfield,25/10/14,2,2,1,0
Leeds,Wolves,25/10/14,1,2,1,0
Middlesbrough,Watford,25/10/14,1,1,0,0
Millwall,Cardiff,25/10/14,1,0,0,0
Nott'm Forest,Blackburn,25/10/14,1,3,1,0
Reading,Blackpool,25/10/14,3,0,1,0
Sheffield Weds,Norwich,25/10/14,0,0,0,0
Norwich,Bolton,31/10/14,2,1,1,0
Blackburn,Reading,1/11/2014,3,1,1,1
Blackpool,Ipswich,1/11/2014,0,2,0,1
Bournemouth,Brighton,1/11/2014,3,2,2,1
Brentford,Derby,1/11/2014,2,1,0,1
Cardiff,Leeds,1/11/2014,3,1,0,0
Charlton,Sheffield Weds,1/11/2014,1,1,0,1
Huddersfield,Nott'm Forest,1/11/2014,3,0,2,0
Rotherham,Middlesbrough,1/11/2014,0,3,0,2
Watford,Millwall,1/11/2014,3,1,2,1
Wigan,Fulham,1/11/2014,3,3,1,2
Wolves,Birmingham,1/11/2014,0,0,0,0
Birmingham,Watford,4/11/2014,2,1,1,1
Bolton,Cardiff,4/11/2014,3,0,2,0
Brighton,Wigan,4/11/2014,1,0,1,0
Derby,Huddersfield,4/11/2014,3,2,2,1
Ipswich,Wolves,4/11/2014,2,1,1,0
Leeds,Charlton,4/11/2014,2,2,0,0
Middlesbrough,Norwich,4/11/2014,4,0,2,0
Millwall,Blackburn,4/11/2014,2,2,0,1
Reading,Rotherham,4/11/2014,3,0,1,0
Sheffield Weds,Bournemouth,4/11/2014,0,2,0,0
Fulham,Blackpool,5/11/2014,2,2,1,2
Nott'm Forest,Brentford,5/11/2014,1,3,0,2
Bolton,Wigan,7/11/2014,3,1,0,0
Birmingham,Cardiff,8/11/2014,0,0,0,0
Brighton,Blackburn,8/11/2014,1,1,1,0
Derby,Wolves,8/11/2014,5,0,3,0
Fulham,Huddersfield,8/11/2014,3,1,1,0
Ipswich,Watford,8/11/2014,1,0,0,0
Leeds,Blackpool,8/11/2014,3,1,3,0
Middlesbrough,Bournemouth,8/11/2014,0,0,0,0
Millwall,Brentford,8/11/2014,2,3,0,1
Nott'm Forest,Norwich,8/11/2014,2,1,0,1
Reading,Charlton,8/11/2014,0,1,0,1
Sheffield Weds,Rotherham,8/11/2014,0,0,0,0
Brentford,Fulham,21/11/14,2,1,0,0
Cardiff,Reading,21/11/14,2,1,2,0
Blackburn,Leeds,22/11/14,2,1,0,1
Blackpool,Bolton,22/11/14,1,1,0,0
Bournemouth,Ipswich,22/11/14,2,2,1,0
Charlton,Millwall,22/11/14,0,0,0,0
Huddersfield,Sheffield Weds,22/11/14,0,0,0,0
Norwich,Brighton,22/11/14,3,3,1,1
Rotherham,Birmingham,22/11/14,0,1,0,0
Watford,Derby,22/11/14,1,2,0,1
Wigan,Middlesbrough,22/11/14,1,1,1,0
Wolves,Nott'm Forest,22/11/14,0,3,0,0
Birmingham,Nott'm Forest,29/11/14,2,1,1,0
Bolton,Huddersfield,29/11/14,1,0,0,0
Bournemouth,Millwall,29/11/14,2,2,2,0
Brentford,Wolves,29/11/14,4,0,1,0
Brighton,Fulham,29/11/14,1,2,0,0
Charlton,Ipswich,29/11/14,0,1,0,0
Leeds,Derby,29/11/14,2,0,1,0
Middlesbrough,Blackburn,29/11/14,1,1,0,0
Norwich,Reading,29/11/14,1,2,1,2
Rotherham,Blackpool,29/11/14,1,1,0,0
Sheffield Weds,Wigan,29/11/14,2,1,1,1
Watford,Cardiff,29/11/14,0,1,0,1
Fulham,Watford,5/12/2014,0,5,0,3
Blackburn,Sheffield Weds,6/12/2014,1,2,1,1
Blackpool,Birmingham,6/12/2014,1,0,0,0
Cardiff,Rotherham,6/12/2014,0,0,0,0
Derby,Brighton,6/12/2014,3,0,3,0
Huddersfield,Brentford,6/12/2014,2,1,1,0
Ipswich,Leeds,6/12/2014,4,1,3,1
Millwall,Middlesbrough,6/12/2014,1,5,0,4
Nott'm Forest,Charlton,6/12/2014,1,1,0,1
Reading,Bolton,6/12/2014,0,0,0,0
Wigan,Norwich,6/12/2014,0,1,0,1
Wolves,Bournemouth,6/12/2014,1,2,1,0
Brighton,Millwall,12/12/2014,0,1,0,1
Birmingham,Reading,13/12/14,6,1,4,1
Bolton,Ipswich,13/12/14,0,0,0,0
Bournemouth,Cardiff,13/12/14,5,3,3,1
Brentford,Blackburn,13/12/14,3,1,1,1
Charlton,Blackpool,13/12/14,2,2,1,1
Leeds,Fulham,13/12/14,0,1,0,0
Middlesbrough,Derby,13/12/14,2,0,1,0
Norwich,Huddersfield,13/12/14,5,0,0,0
Rotherham,Nott'm Forest,13/12/14,0,0,0,0
Sheffield Weds,Wolves,13/12/14,0,1,0,0
Watford,Wigan,13/12/14,2,1,1,1
Millwall,Bolton,19/12/14,0,1,0,0
Blackburn,Charlton,20/12/14,2,0,2,0
Blackpool,Bournemouth,20/12/14,1,6,0,2
Cardiff,Brentford,20/12/14,2,3,0,3
Derby,Norwich,20/12/14,2,2,1,0
Fulham,Sheffield Weds,20/12/14,4,0,2,0
Huddersfield,Birmingham,20/12/14,0,1,0,0
Ipswich,Middlesbrough,20/12/14,2,0,2,0
Nott'm Forest,Leeds,20/12/14,1,1,1,0
Reading,Watford,20/12/14,0,1,0,0
Wigan,Rotherham,20/12/14,1,2,0,1
Wolves,Brighton,20/12/14,1,1,0,1
Birmingham,Derby,26/12/14,0,4,0,2
Bolton,Blackburn,26/12/14,2,1,0,1
Bournemouth,Fulham,26/12/14,2,0,1,0
Brentford,Ipswich,26/12/14,2,4,0,3
Brighton,Reading,26/12/14,2,2,1,2
Charlton,Cardiff,26/12/14,1,1,0,1
Leeds,Wigan,26/12/14,0,2,0,1
Middlesbrough,Nott'm Forest,26/12/14,3,0,0,0
Norwich,Millwall,26/12/14,6,1,2,0
Rotherham,Huddersfield,26/12/14,2,2,0,1
Sheffield Weds,Blackpool,26/12/14,1,0,1,0
Watford,Wolves,26/12/14,0,1,0,0
Blackburn,Middlesbrough,28/12/14,0,0,0,0
Blackpool,Rotherham,28/12/14,1,1,0,0
Cardiff,Watford,28/12/14,2,4,1,2
Huddersfield,Bolton,28/12/14,2,1,1,1
Millwall,Bournemouth,28/12/14,0,2,0,2
Nott'm Forest,Birmingham,28/12/14,1,3,0,3
Reading,Norwich,28/12/14,2,1,2,0
Wolves,Brentford,28/12/14,2,1,1,0
Fulham,Brighton,29/12/14,0,2,0,0
Derby,Leeds,30/12/14,2,0,1,0
Ipswich,Charlton,30/12/14,3,0,1,0
Wigan,Sheffield Weds,30/12/14,0,1,0,0
Birmingham,Wigan,10/1/2015,3,1,2,1
Blackpool,Millwall,10/1/2015,1,0,1,0
Bolton,Leeds,10/1/2015,1,1,0,1
Bournemouth,Norwich,10/1/2015,1,2,1,1
Brentford,Rotherham,10/1/2015,1,0,0,0
