HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG
Burnley,Wigan,21/04/14,2,0,2,0
Derby,Barnsley,21/04/14,2,1,2,0
Ipswich,Bournemouth,21/04/14,2,2,1,1
Leeds,Nott'm Forest,21/04/14,0,2,0,2
Millwall,Doncaster,21/04/14,0,0,0,0
QPR,Watford,21/04/14,2,1,0,0
Sheffield Weds,Charlton,21/04/14,2,3,2,2
Yeovil,Huddersfield,21/04/14,1,2,0,0
Bolton,Leicester,22/04/14,0,1,0,0
Reading,Middlesbrough,22/04/14,2,0,2,0
Brighton,Yeovil,25/04/14,2,0,0,0
Birmingham,Leeds,26/04/14,1,3,0,0
Bournemouth,Nott'm Forest,26/04/14,4,1,1,0
Burnley,Ipswich,26/04/14,1,0,0,0
Charlton,Blackburn,26/04/14,1,3,0,1
Derby,Watford,26/04/14,4,2,1,1
Doncaster,Reading,26/04/14,1,3,1,0
Huddersfield,Leicester,26/04/14,0,2,0,1
Middlesbrough,Barnsley,26/04/14,3,1,0,0
QPR,Millwall,26/04/14,1,1,0,0
Sheffield Weds,Bolton,26/04/14,1,3,1,3
Wigan,Blackpool,26/04/14,0,2,0,0
Birmingham,Wigan,29/04/14,0,1,0,1
Charlton,Watford,29/04/14,3,1,1,0
Barnsley,QPR,3/5/2014,2,3,0,2
Blackburn,Wigan,3/5/2014,4,3,3,1
Blackpool,Charlton,3/5/2014,0,3,0,0
Bolton,Birmingham,3/5/2014,2,2,0,0
Ipswich,Sheffield Weds,3/5/2014,2,1,1,0
Leeds,Derby,3/5/2014,1,1,0,1
Leicester,Doncaster,3/5/2014,1,0,0,0
Millwall,Bournemouth,3/5/2014,1,0,1,0
Nott'm Forest,Brighton,3/5/2014,1,2,1,0
Reading,Burnley,3/5/2014,2,2,1,2
Watford,Huddersfield,3/5/2014,1,4,0,0
Yeovil,Middlesbrough,3/5/2014,1,4,1,3
