HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Sheffield United,Notts County,02/08/2013,2,1,1,0,28,5,7,2,8,19,4,1,1,3,0,1
Bristol City,Bradford,03/08/2013,2,2,1,1,12,10,5,2,8,11,2,6,0,0,0,0
Carlisle,Leyton Orient,03/08/2013,1,5,1,2,5,15,2,9,8,9,7,5,2,2,1,0
Crawley Town,Coventry,03/08/2013,3,2,2,0,16,14,6,2,6,7,6,5,0,0,0,0
Crewe,Rotherham,03/08/2013,3,3,2,1,7,13,4,7,8,14,4,4,0,1,0,0
Gillingham,Colchester,03/08/2013,0,1,0,0,14,15,6,5,15,11,8,1,2,0,0,0
Peterboro,Swindon,03/08/2013,1,0,1,0,10,11,2,6,15,15,6,5,2,4,0,0
Port Vale,Brentford,03/08/2013,1,1,1,1,6,11,3,4,5,8,5,10,1,0,0,0
Preston,Wolves,03/08/2013,0,0,0,0,6,12,2,2,11,10,7,8,2,2,0,0
Shrewsbury,Milton Keynes Dons,03/08/2013,0,0,0,0,10,10,5,2,10,15,6,6,0,1,0,0
Stevenage,Oldham,03/08/2013,3,4,1,0,11,11,5,6,13,20,7,9,7,4,0,0
Walsall,Tranmere,03/08/2013,3,1,2,1,16,6,6,1,10,17,9,6,0,5,0,0
Bradford,Carlisle,10/08/2013,4,0,3,0,25,5,15,1,13,6,8,2,0,0,0,0
Brentford,Sheffield United,10/08/2013,3,1,1,0,9,3,6,2,9,11,4,2,1,3,0,0
Colchester,Port Vale,10/08/2013,1,0,0,0,10,9,6,3,5,10,8,8,4,1,0,0
Leyton Orient,Shrewsbury,10/08/2013,3,0,0,0,23,12,7,4,5,10,5,6,1,1,0,0
Milton Keynes Dons,Crewe,10/08/2013,1,0,1,0,19,10,5,2,11,15,5,3,2,1,0,0
Notts County,Peterboro,10/08/2013,2,4,1,1,15,17,6,8,14,13,2,5,0,1,0,0
Oldham,Walsall,10/08/2013,0,1,0,1,13,7,2,2,7,12,9,12,1,1,0,0
Rotherham,Preston,10/08/2013,0,0,0,0,8,7,1,4,9,10,2,11,3,1,0,0
Swindon,Stevenage,10/08/2013,1,0,1,0,12,5,6,1,7,13,10,6,3,0,0,0
Tranmere,Crawley Town,10/08/2013,3,3,2,1,11,7,4,6,9,5,3,5,3,0,0,0
Wolves,Gillingham,10/08/2013,4,0,3,0,24,13,9,3,5,13,10,2,0,2,0,0
Coventry,Bristol City,11/08/2013,5,4,3,0,20,10,15,6,12,13,3,4,2,4,0,0
Bristol City,Wolves,17/08/2013,1,2,0,1,11,13,3,8,9,11,7,11,2,3,0,0
Carlisle,Coventry,17/08/2013,0,4,0,3,11,18,3,9,8,11,8,4,2,3,0,0
Crawley Town,Rotherham,17/08/2013,1,2,1,1,15,14,7,6,12,9,6,9,2,0,0,0
Crewe,Tranmere,17/08/2013,2,1,1,0,9,7,6,4,12,13,5,6,1,2,0,1
Gillingham,Brentford,17/08/2013,1,1,1,0,3,15,2,5,18,6,5,6,3,1,0,0
Peterboro,Oldham,17/08/2013,2,1,1,0,12,12,4,3,13,15,5,3,1,1,0,0
Port Vale,Bradford,17/08/2013,2,1,1,0,8,9,5,3,11,10,4,5,3,1,0,0
Preston,Milton Keynes Dons,17/08/2013,2,2,2,1,14,7,5,2,11,4,4,0,0,1,0,0
