HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Colchester,Crewe,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doncaster,Walsall,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fleetwood Town,Peterboro,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillingham,Sheffield United,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Keynes Dons,Bristol City,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notts County,Chesterfield,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Vale,Bradford,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preston,Coventry,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochdale,Leyton Orient,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scunthorpe,Oldham,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindon,Barnsley,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeovil,Crawley Town,07/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
