HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,
Barnsley,Crawley Town,0.00 ,1.00 ,0.00 ,0.00 ,13.00 ,12.00 ,7.00 ,5.00 ,15.00 ,20.00 ,3.00 ,3.00 ,1.00 ,4.00 ,1.00 ,0.00 ,
Bradford,Coventry,3.00,2.00,1.00,1.00,11.00,8.00,6.00,4.00,16.00,10.00,4.00,6.00,2.00,3.00,0.00,0.00,
Colchester,Oldham,2.00,2.00,1.00,2.00,13.00,10.00,5.00,3.00,6.00,5.00,8.00,4.00,0.00,0.00,0.00,0.00,
Fleetwood Town,Crewe,2.00,1.00,0.00,0.00,20.00,7.00,6.00,3.00,15.00,11.00,4.00,4.00,1.00,1.00,0.00,0.00,
Leyton Orient,Chesterfield,1.00,2.00,0.00,1.00,18.00,14.00,7.00,7.00,11.00,15.00,3.00,2.00,3.00,1.00,0.00,0.00,
Milton Keynes Dons,Gillingham,4.00,2.00,1.00,2.00,13.00,3.00,4.00,2.00,10.00,9.00,10.00,2.00,2.00,1.00,0.00,0.00,
Port Vale,Walsall,1.00,1.00,1.00,0.00,9.00,9.00,3.00,4.00,13.00,8.00,3.00,9.00,1.00,2.00,0.00,0.00,
Preston,Notts County,1.00,1.00,0.00,0.00,16.00,6.00,10.00,3.00,6.00,7.00,10.00,3.00,0.00,1.00,0.00,0.00,
Rochdale,Peterboro,0.00,1.00,0.00,0.00,13.00,8.00,5.00,4.00,8.00,9.00,7.00,5.00,1.00,0.00,0.00,0.00,
Sheffield United,Bristol City,1.00,2.00,1.00,1.00,18.00,16.00,5.00,6.00,11.00,7.00,5.00,2.00,2.00,1.00,0.00,0.00,
Swindon,Scunthorpe,3.00,1.00,3.00,1.00,8.00,9.00,3.00,5.00,6.00,13.00,6.00,4.00,2.00,0.00,0.00,1.00,
Yeovil,Doncaster,0.00,3.00,0.00,1.00,13.00,11.00,3.00,4.00,11.00,17.00,8.00,2.00,2.00,1.00,0.00,0.00,
Bristol City,Colchester,2.00,1.00,0.00,1.00,10.00,9.00,4.00,3.00,7.00,9.00,4.00,2.00,0.00,0.00,0.00,0.00,
Chesterfield,Rochdale,2.00,1.00,1.00,0.00,13.00,9.00,7.00,3.00,7.00,13.00,12.00,0.00,1.00,2.00,0.00,0.00,
Coventry,Sheffield United,1.00,0.00,0.00,0.00,11.00,4.00,5.00,1.00,15.00,14.00,3.00,2.00,0.00,2.00,0.00,0.00,
Crawley Town,Swindon,1.00,0.00,0.00,0.00,8.00,26.00,3.00,7.00,10.00,11.00,3.00,16.00,2.00,1.00,0.00,1.00,
Crewe,Barnsley,1.00,2.00,1.00,0.00,6.00,9.00,1.00,3.00,10.00,9.00,2.00,6.00,1.00,2.00,0.00,0.00,
Doncaster,Port Vale,1.00,3.00,0.00,3.00,9.00,14.00,4.00,5.00,12.00,8.00,4.00,7.00,0.00,0.00,1.00,0.00,
Gillingham,Yeovil,2.00,0.00,1.00,0.00,7.00,12.00,3.00,2.00,11.00,13.00,4.00,8.00,0.00,0.00,0.00,0.00,
Notts County,Fleetwood Town,0.00,1.00,0.00,1.00,9.00,10.00,3.00,5.00,8.00,6.00,3.00,9.00,0.00,0.00,0.00,0.00,
Oldham,Leyton Orient,1.00,3.00,1.00,1.00,6.00,5.00,1.00,3.00,10.00,12.00,6.00,4.00,0.00,2.00,0.00,0.00,
Peterboro,Milton Keynes Dons,3.00,2.00,1.00,0.00,12.00,8.00,6.00,4.00,9.00,10.00,10.00,7.00,3.00,2.00,0.00,0.00,
Scunthorpe,Preston,0.00,4.00,0.00,2.00,8.00,15.00,3.00,5.00,9.00,13.00,4.00,5.00,0.00,0.00,0.00,0.00,
Walsall,Bradford,0.00,0.00,0.00,0.00,9.00,10.00,2.00,3.00,7.00,20.00,8.00,4.00,0.00,1.00,0.00,0.00,
Bristol City,Leyton Orient,0.00,0.00,0.00,0.00,9.00,9.00,1.00,4.00,8.00,11.00,8.00,6.00,0.00,0.00,0.00,0.00,
Chesterfield,Milton Keynes Dons,0.00,1.00,0.00,0.00,13.00,8.00,2.00,3.00,8.00,8.00,14.00,2.00,2.00,3.00,0.00,0.00,
Coventry,Barnsley,2.00,2.00,2.00,2.00,16.00,10.00,9.00,3.00,16.00,13.00,4.00,5.00,1.00,2.00,0.00,0.00,
Crawley Town,Bradford,1.00,3.00,0.00,0.00,3.00,13.00,1.00,5.00,8.00,12.00,5.00,5.00,1.00,2.00,0.00,0.00,
Crewe,Rochdale,2.00,5.00,1.00,2.00,12.00,18.00,6.00,9.00,8.00,18.00,5.00,8.00,1.00,2.00,0.00,0.00,
Doncaster,Preston,1.00,1.00,0.00,0.00,11.00,11.00,4.00,6.00,10.00,14.00,9.00,5.00,0.00,2.00,0.00,0.00,
Gillingham,Swindon,2.00,2.00,1.00,1.00,5.00,14.00,3.00,9.00,10.00,10.00,1.00,8.00,2.00,1.00,0.00,0.00,
Notts County,Colchester,2.00,1.00,1.00,0.00,11.00,24.00,5.00,9.00,10.00,10.00,3.00,4.00,1.00,2.00,2.00,0.00,
Oldham,Port Vale,1.00,1.00,0.00,1.00,11.00,8.00,4.00,3.00,17.00,14.00,10.00,2.00,0.00,2.00,0.00,0.00,
Peterboro,Sheffield United,1.00,2.00,1.00,1.00,15.00,9.00,4.00,5.00,11.00,7.00,3.00,6.00,0.00,0.00,0.00,0.00,
Scunthorpe,Fleetwood Town,0.00,2.00,0.00,0.00,9.00,12.00,2.00,5.00,9.00,11.00,6.00,9.00,1.00,1.00,0.00,0.00,
Walsall,Yeovil,1.00,2.00,0.00,0.00,16.00,8.00,3.00,3.00,5.00,17.00,5.00,5.00,2.00,4.00,0.00,0.00,
Barnsley,Gillingham,4.00,1.00,2.00,0.00,13.00,5.00,6.00,3.00,8.00,12.00,5.00,2.00,1.00,1.00,0.00,0.00,
Bradford,Peterboro,0.00,1.00,0.00,0.00,9.00,11.00,4.00,3.00,8.00,13.00,4.00,7.00,0.00,1.00,0.00,0.00,
Colchester,Doncaster,0.00,1.00,0.00,0.00,9.00,12.00,2.00,4.00,16.00,6.00,3.00,2.00,2.00,0.00,0.00,0.00,
Fleetwood Town,Chesterfield,0.00,0.00,0.00,0.00,8.00,13.00,2.00,4.00,10.00,12.00,6.00,6.00,3.00,2.00,0.00,0.00,
Leyton Orient,Walsall,0.00,0.00,0.00,0.00,7.00,14.00,3.00,4.00,14.00,5.00,5.00,6.00,1.00,0.00,0.00,0.00,
Milton Keynes Dons,Coventry,0.00,0.00,0.00,0.00,13.00,8.00,6.00,5.00,14.00,24.00,5.00,2.00,2.00,2.00,0.00,0.00,
Port Vale,Notts County,0.00,2.00,0.00,1.00,24.00,11.00,6.00,6.00,15.00,11.00,18.00,2.00,1.00,2.00,0.00,0.00,
Preston,Oldham,1.00,0.00,1.00,0.00,14.00,12.00,2.00,3.00,14.00,11.00,3.00,4.00,2.00,1.00,0.00,0.00,
Rochdale,Bristol City,1.00,1.00,0.00,1.00,8.00,9.00,3.00,4.00,7.00,9.00,11.00,6.00,1.00,1.00,0.00,0.00,
