HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Preston,Leyton Orient,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colchester,Walsall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Doncaster,Barnsley,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coventry,Gillingham,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Milton Keynes Dons,Sheffield United,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Notts County,Crewe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Port Vale,Peterboro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rochdale,Crawley Town,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Scunthorpe,Bristol City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swindon,Chesterfield,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yeovil,Bradford,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
