HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Tottenham,Arsenal,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Chelsea,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Crystal Palace,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man City,Hull,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QPR,Southampton,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swansea,Sunderland,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Liverpool,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,West Brom,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Stoke,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Ham,Man United,30/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
