HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Burnley,QPR,1/1/2015,2,1,2,1,18,17,7,7,14,9,10,6,2,2,0,0
Chelsea,Newcastle,1/1/2015,2,0,1,0,9,11,5,5,13,13,7,4,2,3,0,0
Crystal Palace,Tottenham,1/1/2015,2,1,0,0,21,9,7,5,9,14,4,6,5,3,0,0
Everton,Man City,1/1/2015,1,1,0,0,11,18,4,2,9,10,4,9,1,2,0,0
Leicester,Aston Villa,1/1/2015,1,0,1,0,11,12,3,1,18,6,6,6,1,1,1,1
Sunderland,Liverpool,1/1/2015,0,1,0,1,5,21,1,4,12,11,6,6,1,3,1,0
Swansea,West Ham,1/1/2015,1,1,0,1,19,11,3,5,9,7,4,5,0,1,0,0
West Brom,Hull,1/1/2015,1,0,0,0,9,12,3,2,5,13,5,2,1,0,0,0
Arsenal,Stoke,1/1/2015,3,0,2,0,14,7,6,2,11,11,9,1,0,3,0,0
Man United,Southampton,1/1/2015,0,1,0,0,10,9,0,1,9,10,3,5,2,3,0,0
Aston Villa,Liverpool,1/1/2015,0,2,0,1,15,12,4,5,13,11,9,5,1,1,0,0
Burnley,Crystal Palace,1/1/2015,2,3,2,1,7,11,4,4,10,20,5,7,1,3,0,0
Leicester,Stoke,1/1/2015,0,1,0,0,7,13,3,3,9,6,6,5,1,0,0,0
Newcastle,Southampton,1/1/2015,1,2,1,1,16,5,3,3,9,8,9,0,0,2,0,0
QPR,Man United,1/1/2015,0,2,0,0,18,12,4,7,12,10,3,3,3,2,0,0
Swansea,Chelsea,1/1/2015,0,5,0,3,11,21,0,11,9,13,1,2,0,0,0,0
Tottenham,Sunderland,1/1/2015,2,1,1,1,25,8,8,4,14,8,6,6,1,2,0,0
Man City,Arsenal,1/1/2015,0,2,0,1,12,9,4,3,12,5,16,3,3,3,0,0
West Ham,Hull,1/1/2015,3,0,0,0,17,9,6,3,5,14,4,7,1,3,0,0
Everton,West Brom,1/1/2015,0,0,0,0,17,5,4,0,11,12,8,1,3,2,0,0
